"Pos","Country","team_code","16/17","17/18","18/19","19/20","20/21","Pts"
"41","Albania","ALB","0.875","2.625","1.000","0.750","2.000","7.250"
"54","Andorra","AND","0.166","0.166","0.833","1.500","0.666","3.331"
"39","Armenia","ARM","1.125","0.625","1.500","2.750","1.375","7.375"
"10","Austria","AUT","7.375","9.750","6.200","5.800","6.700","35.825"
"26","Azerbaijan","AZE","4.250","4.375","2.375","3.375","2.500","16.875"
"29","Belarus","BLR","3.000","3.250","5.000","2.500","1.500","15.250"
"9","Belgium","BEL","12.500","2.600","7.800","7.600","6.000","36.500"
"36","Bosnia and Herzegovina","BIH","0.500","1.375","2.000","1.500","2.625","8.000"
"24","Bulgaria","BUL","4.250","4.000","4.000","4.125","4.000","20.375"
"18","Croatia","CRO","5.125","5.125","5.750","4.375","5.900","26.275"
"15","Cyprus","CYP","5.500","7.000","6.125","5.125","4.000","27.750"
"17","Czech Republic","CZE","5.500","5.500","6.500","2.500","6.600","26.600"
"14","Denmark","DEN","8.500","5.250","4.875","5.125","4.125","27.875"
"1","England","ENG","14.928","20.071","22.642","18.571","23.928","100.140"
"53","Estonia","EST","1.375","0.625","0.500","0.875","1.375","4.750"
"47","Faroe Islands","FRO","0.375","0.750","1.125","1.125","2.750","6.125"
"44","Finland","FIN","1.750","1.250","0.875","1.625","1.375","6.875"
"5","France","FRA","14.416","11.500","10.583","11.666","7.916","56.081"
"43","Georgia","GEO","1.125","0.125","1.625","2.250","1.750","6.875"
"4","Germany","GER","14.571","9.857","15.214","18.714","15.214","73.570"
"49","Gibraltar","GIB","1.500","0.500","1.000","1.000","1.666","5.666"
"20","Greece","GRE","5.800","5.100","5.100","4.900","5.100","26.000"
"28","Hungary","HUN","1.875","1.625","3.250","4.500","4.250","15.500"
"52","Iceland","ISL","1.000","1.125","1.500","0.625","0.625","4.875"
"21","Israel","ISR","6.750","5.625","2.625","2.375","7.000","24.375"
"3","Italy","ITA","14.250","17.333","12.642","14.928","16.285","75.438"
"27","Kazakhstan","KAZ","2.750","4.250","4.250","3.375","1.000","15.625"
"48","Kosovo","KOS","-","0.000","2.500","1.500","1.833","5.833"
"40","Latvia","LVA","1.375","0.750","1.625","2.250","1.375","7.375"
"33","Liechtenstein","LIE","2.500","2.000","1.500","2.500","0.500","9.000"
"34","Lithuania","LTU","0.500","2.375","2.625","1.625","1.625","8.750"
"35","Luxembourg","LUX","0.750","0.875","2.625","3.000","1.000","8.250"
"46","Malta","MLT","1.250","1.375","1.500","0.750","1.500","6.375"
"45","Moldova","MDA","0.875","2.750","1.125","0.750","1.375","6.875"
"50","Montenegro","MNE","0.875","1.125","0.375","1.000","1.625","5.000"
"7","Netherlands","NED","9.100","2.900","8.600","9.400","9.200","39.200"
"38","North Macedonia","MKD","1.250","3.125","1.000","0.500","1.750","7.625"
"42","Northern Ireland","NIR","0.500","0.750","0.500","2.375","2.833","6.958"
"22","Norway","NOR","1.375","4.000","5.375","3.750","6.500","21.000"
"30","Poland","POL","3.875","2.875","2.250","2.125","4.000","15.125"
"6","Portugal","POR","8.083","9.666","10.900","10.300","9.600","48.549"
"37","Republic of Ireland","IRL","2.625","1.125","1.000","1.250","1.875","7.875"
"25","Romania","ROU","3.300","2.900","2.375","5.875","3.750","18.200"
"8","Russia","RUS","9.200","12.600","7.583","4.666","4.333","38.382"
"55","San Marino","SMR","0.000","0.166","0.500","0.000","0.500","1.166"
"11","Scotland","SCO","4.375","4.000","6.750","9.750","8.500","33.375"
"16","Serbia","SRB","2.875","6.375","6.000","6.000","5.500","26.750"
"32","Slovakia","SVK","2.125","1.875","5.125","3.000","1.500","13.625"
"31","Slovenia","SVN","2.250","4.625","3.125","2.000","2.250","14.250"
"2","Spain","ESP","20.142","19.714","19.571","18.928","19.357","97.712"
"23","Sweden","SWE","2.750","5.375","4.125","5.750","2.500","20.500"
"19","Switzerland","SUI","4.300","6.500","3.900","6.400","5.125","26.225"
"13","Turkey","TUR","9.700","6.800","5.500","5.000","3.100","30.100"
"12","Ukraine","UKR","5.500","8.000","5.600","7.200","6.800","33.100"
"51","Wales","WAL","1.000","0.500","1.000","1.000","1.500","5.000"
